# _id, reactants, products, spectators, source, source_id
7,[CH3:1][C:2]1[N+:3]([O-])=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2.P(Cl)(Cl)([Cl:18])=O,[Cl:18][C:4]1[C:5]2[C:10](=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2)[CH:11]=[C:2]([CH3:1])[N:3]=1,,uspto,7f93f75a8e1b68cfb0d07e5102880ccebea710e030c71e945c6fc1165f017ac8
8,[CH3:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2.[ClH:15],[ClH:15].[CH3:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2,,uspto,be7b1dddf84211f50746944988cd01cb88baa63b78763403ba9e090180e8503b
9,CC1N=CC2C(C=1)=C([N+]([O-])=O)C=CC=2.[Cl:15][C:16]1[C:25]2[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=2)[CH:19]=[CH:18][N:17]=1,[ClH:15].[Cl:15][C:16]1[C:25]2[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=2)[CH:19]=[CH:18][N:17]=1,,uspto,b26629ba038a2151cfc1d9dae51a40330197de79ba463161bcab2176b737d2dd
12,[N+](C1C=CC=C2C=1C=CN=C2)([O-])=O.[CH3:14][C:15]1[C:24]2[C:19](=[CH:20][CH:21]=[CH:22][CH:23]=2)[CH:18]=[CH:17][N:16]=1.Br.[Cl:26][C:27]1[C:32]([OH:33])=[C:31]([Cl:34])[C:30]([Cl:35])=[C:29]([Cl:36])[C:28]=1[Cl:37],[Cl:26][C:27]1[C:32]([O-:33])=[C:31]([Cl:34])[C:30]([Cl:35])=[C:29]([Cl:36])[C:28]=1[Cl:37].[CH3:14][C:15]1[C:24]2[C:19](=[CH:20][CH:21]=[CH:22][CH:23]=2)[CH:18]=[CH:17][NH+:16]=1,,uspto,37b8dbbf07b17f4dd32be954c030e021a31413a7a4f4b1bb7cc1c1012b4740ac
13,[N+:1]([C:4]1[CH:13]=[CH:12][CH:11]=[C:10]2[C:5]=1[CH:6]=[CH:7][N:8]=[CH:9]2)([O-])=O.NC1C=CC=C2C=1C=CN=C2.Br.[IH:26],[IH:26].[IH:26].[NH2:1][C:4]1[CH:13]=[CH:12][CH:11]=[C:10]2[C:5]=1[CH:6]=[CH:7][N:8]=[CH:9]2,,uspto,0575c29ae66aed6a73abd1364aae78b038ada28d6933c8f3982ff5f9c4a6d3f6
21,[CH3:1][C:2]1[C:3](=[CH:7][C:8](=[CH:12][CH:13]=1)[N:9]=[C:10]=[O:11])N=C=O.[NH2:14][C:15]([O:17]CC)=O,[CH2:2]1[CH:3]([CH2:1][CH:2]2[CH2:13][CH2:12][CH:8]([N:9]=[C:10]=[O:11])[CH2:7][CH2:3]2)[CH2:7][CH2:8][CH:12]([N:14]=[C:15]=[O:17])[CH2:13]1,,uspto,de913681cf7d92089a46c8a7c78f4d5111d4ca903ee40dfa245e969ba35a673f
39,BrBr.[C:3]([NH:7][NH:8][C:9]1([C:18]#[N:19])[CH2:14][CH:13]([CH3:15])[CH2:12][C:11]([CH3:17])([CH3:16])[CH2:10]1)([CH3:6])([CH3:5])[CH3:4],[C:3]([N:7]=[N:8][C:9]1([C:18]#[N:19])[CH2:14][CH:13]([CH3:15])[CH2:12][C:11]([CH3:17])([CH3:16])[CH2:10]1)([CH3:5])([CH3:4])[CH3:6],,uspto,edb96fed0337d0f88349178a5ddb35c6ff5b36db4b590b70ef611a556a1b1b1c
40,[C:1]([NH:5][N:6]=[C:7]([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2].[CH:12]#[N:13],[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:10][CH2:11]1)[CH3:8])([CH3:4])([CH3:2])[CH3:3],,uspto,5604c7c21b931d3fb6780de7dd1592fd0144d52b47ced231afced5db43ed7842
42,[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2].[C:14]1(=O)[CH2:21]CCCCC[CH2:15]1.C1(C(C)=O)CC1,[C:1]([NH:5][NH:6][C:7]1([C:12]#[N:13])[CH2:8][CH2:21][CH2:14][CH2:15][CH2:10][CH2:11][CH2:9]1)([CH3:2])([CH3:3])[CH3:4],,uspto,4442090e1aba481aab6de7b6063212d4c58d6edf989f2b5150bc02b3f0031cce
43,[C:1]([NH:5][NH:6][C:7]1([C:15]#[N:16])[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:3])[CH3:2].BrBr.C(NNC(C#N)(C1CC1)C)(C)(C)C,[C:1]([N:5]=[N:6][C:7]1([C:15]#[N:16])[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:2])[CH3:3],,uspto,b478b912322ad937206ee8feb6cb3cf2441ea5474202d5515dcef1d838da18e4

